design,category,top,recipe,is_winner,cells,area_um2,wns_ns,tns_ns,abc_delay_ps,runtime_s,status,error,final_wns_slow,final_tns_slow,final_area_um2
mul32_mac,datapath,mul32_mac,delay_syn2@booth,0,8331,46623.47,-5.916,-39.729,13081.79,2.1,ok,,,,
mul32_mac,datapath,mul32_mac,orfs_area@booth,0,10197,56494.18,-5.365,-36.756,12734.71,2.5,ok,,,,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v3@booth+adder=kogge-stone,0,5306,35936.97,-4.221,-11.520,11692.56,2.8,ok,,,,
mul32_mac,datapath,mul32_mac,orfs_area@booth+adder=kogge-stone,0,10957,62319.77,-3.977,-10.681,11576.25,3.1,ok,,,,
mul32_mac,datapath,mul32_mac,delay_map_resyn@booth+adder=kogge-stone,0,10146,50686.11,-2.436,-2.436,10165.50,3.3,ok,,,,
mul32_mac,datapath,mul32_mac,delay_map@booth+adder=kogge-stone,0,12873,65436.51,-2.551,-2.551,10385.76,3.9,ok,,,,
mul32_mac,datapath,mul32_mac,delay_syn2@booth+adder=kogge-stone,0,8930,51254.16,-3.961,-4.771,11327.47,4.0,ok,,,,
fir8,dsp,fir8,delay_choice_deep_v3,0,1734,13527.97,0.180,0.000,10268.75,0.5,ok,,,,
fir8,dsp,fir8,delay_choice_deep_v3@adder=han-carlson,0,1774,13734.42,0.374,0.000,10375.12,0.5,ok,,,,
fir8,dsp,fir8,delay_choice_deep_v3@adder=kogge-stone,0,1811,13718.16,0.300,0.000,10116.94,0.6,ok,,,,
fir8,dsp,fir8,delay_syn2,0,2285,15920.27,0.896,0.000,9373.95,0.6,ok,,,,
fir8,dsp,fir8,delay_map,0,3753,19671.37,1.582,0.000,9241.97,0.6,ok,,,,
fir8,dsp,fir8,delay_syn2@adder=han-carlson,0,2298,16001.60,1.143,0.000,9219.98,0.7,ok,,,,
fir8,dsp,fir8,delay_map@adder=sklansky,0,3835,19821.51,1.474,0.000,9507.33,0.7,ok,,,,
fir8,dsp,fir8,delay_map_resyn,0,2913,16158.00,1.657,0.000,9112.90,0.7,ok,,,,
fir8,dsp,fir8,delay_map@adder=han-carlson,0,3910,20565.97,1.886,0.000,9006.05,0.7,ok,,,,
fir8,dsp,fir8,orfs_area,0,2466,17301.59,0.752,0.000,9667.86,0.8,ok,,,,
fir8,dsp,fir8,delay_syn2@adder=kogge-stone,0,2454,17314.11,1.213,0.000,9180.72,0.8,ok,,,,
fir8,dsp,fir8,delay_map@adder=kogge-stone,0,4172,21733.34,2.019,0.000,8928.34,0.8,ok,,,,
fir8,dsp,fir8,delay_map_resyn@adder=han-carlson,0,3104,16622.19,1.939,0.000,8901.67,0.8,ok,,,,
fir8,dsp,fir8,orfs_area@adder=sklansky,0,2434,17166.46,0.804,0.000,9484.54,0.8,ok,,,,
fir8,dsp,fir8,delay_map_resyn@adder=sklansky,0,3032,16364.44,1.723,0.000,8944.68,0.8,ok,,,,
fir8,dsp,fir8,delay_map_resyn@adder=kogge-stone,0,3403,17973.49,2.185,0.000,8620.41,0.9,ok,,,,
fir8,dsp,fir8,orfs_area@adder=han-carlson,0,2477,17259.05,0.593,0.000,9802.96,0.9,ok,,,,
fir8,dsp,fir8,orfs_area@adder=kogge-stone,0,2672,18407.65,0.781,0.000,9512.15,1.0,ok,,,,
fir8,dsp,fir8,delay_choice_deep_v3@adder=sklansky,1,1730,13331.54,0.237,0.000,10301.75,0.5,ok,,0.210,0.000,13331.54
fir8,dsp,fir8,delay_syn2@adder=sklansky,0,2315,16100.44,1.216,0.000,9219.15,0.7,ok,,,,
fir8,dsp,fir8,delay_choice_deep_v3@booth,0,1882,14412.57,-0.018,-0.038,10439.42,0.5,ok,,,,
fir8,dsp,fir8,delay_syn2@booth,0,2263,15611.22,0.918,0.000,9706.45,0.6,ok,,,,
fir8,dsp,fir8,delay_choice_deep_v3@booth+adder=kogge-stone,0,2015,15041.93,0.574,0.000,10143.72,0.6,ok,,,,
fir8,dsp,fir8,delay_map@booth,0,3879,20130.56,1.623,0.000,9194.58,0.8,ok,,,,
fir8,dsp,fir8,delay_map_resyn@booth,0,3205,17361.65,1.726,0.000,9092.18,0.9,ok,,,,
fir8,dsp,fir8,orfs_area@booth,0,2443,16844.91,-0.097,-0.097,10147.47,0.9,ok,,,,
fir8,dsp,fir8,delay_syn2@booth+adder=kogge-stone,0,2363,16691.01,1.318,0.000,9384.84,0.7,ok,,,,
fir8,dsp,fir8,delay_map@booth+adder=kogge-stone,0,4107,21645.76,1.844,0.000,9064.42,0.8,ok,,,,
fir8,dsp,fir8,delay_map_resyn@booth+adder=kogge-stone,0,3519,18047.31,1.708,0.000,9158.51,0.9,ok,,,,
fir8,dsp,fir8,orfs_area@booth+adder=kogge-stone,0,2536,17730.76,0.859,0.000,9465.35,0.9,ok,,,,
aes_round,crypto,aes_round,orfs_area,0,11830,67468.46,1.808,0.000,4421.78,2.6,ok,,,,
aes_round,crypto,aes_round,orfs_area@adder=sklansky,0,11830,67468.46,1.808,0.000,4421.78,2.7,ok,,,,
aes_round,crypto,aes_round,orfs_area@adder=kogge-stone,0,11830,67468.46,1.808,0.000,4421.78,2.7,ok,,,,
aes_round,crypto,aes_round,orfs_area@adder=han-carlson,0,11830,67468.46,1.808,0.000,4421.78,2.7,ok,,,,
aes_round,crypto,aes_round,delay_choice_deep_v3@adder=han-carlson,1,9563,57296.20,1.397,0.000,4991.75,2.9,ok,,1.360,0.000,57296.20
aes_round,crypto,aes_round,delay_choice_deep_v3,0,9563,57296.20,1.397,0.000,4991.75,2.9,ok,,,,
aes_round,crypto,aes_round,delay_choice_deep_v3@adder=kogge-stone,0,9563,57296.20,1.397,0.000,4991.75,2.9,ok,,,,
aes_round,crypto,aes_round,delay_syn2@adder=kogge-stone,0,11136,61712.94,1.639,0.000,4677.07,3.0,ok,,,,
aes_round,crypto,aes_round,delay_syn2,0,11136,61712.94,1.639,0.000,4677.07,3.0,ok,,,,
aes_round,crypto,aes_round,delay_syn2@adder=han-carlson,0,11136,61712.94,1.639,0.000,4677.07,3.1,ok,,,,
aes_round,crypto,aes_round,delay_map,0,14620,70951.80,1.704,0.000,4818.63,3.4,ok,,,,
aes_round,crypto,aes_round,delay_map@adder=han-carlson,0,14620,70951.80,1.704,0.000,4818.63,3.4,ok,,,,
aes_round,crypto,aes_round,delay_map@adder=kogge-stone,0,14620,70951.80,1.704,0.000,4818.63,3.5,ok,,,,
aes_round,crypto,aes_round,delay_map@adder=sklansky,0,14620,70951.80,1.704,0.000,4818.63,3.5,ok,,,,
aes_round,crypto,aes_round,delay_map_resyn@adder=kogge-stone,0,14203,69183.85,1.777,0.000,4737.78,3.8,ok,,,,
aes_round,crypto,aes_round,delay_map_resyn,0,14203,69183.85,1.777,0.000,4737.78,3.9,ok,,,,
aes_round,crypto,aes_round,delay_map_resyn@adder=sklansky,0,14203,69183.85,1.777,0.000,4737.78,3.9,ok,,,,
aes_round,crypto,aes_round,delay_map_resyn@adder=han-carlson,0,14203,69183.85,1.777,0.000,4737.78,3.9,ok,,,,
aes_round,crypto,aes_round,orfs_area@booth,0,11830,67468.46,1.808,0.000,4421.78,2.6,ok,,,,
aes_round,crypto,aes_round,delay_choice_deep_v3@adder=sklansky,0,9563,57296.20,1.397,0.000,4991.75,2.8,ok,,,,
aes_round,crypto,aes_round,delay_syn2@adder=sklansky,0,11136,61712.94,1.639,0.000,4677.07,2.9,ok,,,,
