design,category,top,recipe,is_winner,cells,area_um2,wns_ns,tns_ns,abc_delay_ps,runtime_s,status,error,final_wns_slow,final_tns_slow,final_area_um2
mul16_pipe,datapath,mul16_pipe,delay_map_resyn@opt_dff_sat+opt_full,0,3000,15598.71,0.574,0.000,7350.71,0.9,ok,,,,
mul16_pipe,datapath,mul16_pipe,orfs_area@opt_dff_sat+opt_full,0,2122,13609.30,-0.473,-0.694,8022.13,0.8,ok,,,,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v3,0,6430,39709.33,-1.718,-1.718,10313.23,1.6,ok,,,,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v3@opt_full,0,6430,39709.33,-1.718,-1.718,10313.23,1.7,ok,,,,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v3@opt_dff_sat,0,6430,39709.33,-1.718,-1.718,10313.23,1.8,ok,,,,
mul32_mac,datapath,mul32_mac,delay_syn2@opt_full,0,7467,42518.28,-1.953,-1.953,10506.31,2.1,ok,,,,
mul32_mac,datapath,mul32_mac,delay_syn2,0,7467,42518.28,-1.953,-1.953,10506.31,2.1,ok,,,,
mul32_mac,datapath,mul32_mac,delay_syn2@opt_dff_sat,0,7467,42518.28,-1.953,-1.953,10506.31,2.4,ok,,,,
mul32_mac,datapath,mul32_mac,orfs_area,0,7448,44025.97,-1.638,-1.638,9988.78,2.4,ok,,,,
mul32_mac,datapath,mul32_mac,orfs_area@noshare,0,7448,44025.97,-1.638,-1.638,9988.78,2.5,ok,,,,
mul32_mac,datapath,mul32_mac,orfs_area@opt_full,0,7448,44025.97,-1.638,-1.638,9988.78,2.6,ok,,,,
mul32_mac,datapath,mul32_mac,orfs_area@opt_dff_sat,0,7448,44025.97,-1.638,-1.638,9988.78,2.7,ok,,,,
mul32_mac,datapath,mul32_mac,delay_map@noshare,0,13936,66954.21,-0.153,-0.153,8954.23,2.8,ok,,,,
mul32_mac,datapath,mul32_mac,delay_map,0,13936,66954.21,-0.153,-0.153,8954.23,2.9,ok,,,,
mul32_mac,datapath,mul32_mac,delay_map_resyn,1,12417,56920.84,0.037,0.000,8804.26,2.9,ok,,0.037,0.000,
mul32_mac,datapath,mul32_mac,delay_map@opt_full,0,13936,66954.21,-0.153,-0.153,8954.23,2.9,ok,,,,
mul32_mac,datapath,mul32_mac,delay_map_resyn@opt_full,0,12417,56920.84,0.037,0.000,8804.26,2.9,ok,,,,
mul32_mac,datapath,mul32_mac,delay_map_resyn@noshare,0,12417,56920.84,0.037,0.000,8804.26,3.0,ok,,,,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v3@noshare,0,6430,39709.33,-1.718,-1.718,10313.23,1.4,ok,,,,
mul32_mac,datapath,mul32_mac,delay_map@opt_dff_sat,0,13936,66954.21,-0.153,-0.153,8954.23,3.0,ok,,,,
mul32_mac,datapath,mul32_mac,delay_map_resyn@opt_dff_sat,0,12417,56920.84,0.037,0.000,8804.26,3.2,ok,,,,
mul32_mac,datapath,mul32_mac,delay_syn2@noshare,0,7467,42518.28,-1.953,-1.953,10506.31,1.9,ok,,,,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v3@opt_dff_sat+opt_full,0,6430,39709.33,-1.718,-1.718,10313.23,1.6,ok,,,,
mul32_mac,datapath,mul32_mac,delay_syn2@opt_dff_sat+opt_full,0,7467,42518.28,-1.953,-1.953,10506.31,2.0,ok,,,,
mul32_mac,datapath,mul32_mac,orfs_area@opt_dff_sat+opt_full,0,7448,44025.97,-1.638,-1.638,9988.78,2.4,ok,,,,
mul32_mac,datapath,mul32_mac,delay_map@opt_dff_sat+opt_full,0,13936,66954.21,-0.153,-0.153,8954.23,2.5,ok,,,,
mul32_mac,datapath,mul32_mac,delay_map_resyn@opt_dff_sat+opt_full,0,12417,56920.84,0.037,0.000,8804.26,2.9,ok,,,,
fir8,dsp,fir8,delay_choice_deep_v3,1,1734,13527.97,0.180,0.000,10268.75,0.6,ok,,0.180,0.000,
